ym=0.0 u=1.0
ym=10001.0 u=10002.0
ym=20002.0 u=20003.0
ym=30003.0 u=30004.0
ym=40004.0 u=40005.0
ym=50005.0 u=50006.0
ym=60006.0 u=60007.0
ym=70007.0 u=70008.0
ym=80008.0 u=80009.0
ym=90009.0 u=90010.0
ym=100010.0 u=100011.0
ym=110011.0 u=110012.0
ym=120012.0 u=120013.0
ym=130013.0 u=130014.0
ym=140014.0 u=140015.0
ym=150015.0 u=150016.0
ym=160016.0 u=160017.0
ym=170017.0 u=170018.0
ym=180018.0 u=180019.0
ym=190019.0 u=190020.0
ym=200020.0 u=200021.0
ym=210021.0 u=210022.0
ym=220022.0 u=220023.0
ym=230023.0 u=230024.0
ym=240024.0 u=240025.0
ym=250025.0 u=250026.0
ym=260026.0 u=260027.0
ym=270027.0 u=270028.0
ym=280028.0 u=280029.0
ym=290029.0 u=290030.0
ym=300030.0 u=300031.0
ym=310031.0 u=310032.0
ym=320032.0 u=320033.0
ym=330033.0 u=330034.0
ym=340034.0 u=340035.0
ym=350035.0 u=350036.0
ym=360036.0 u=360037.0
ym=370037.0 u=370038.0
ym=380038.0 u=380039.0
ym=390039.0 u=390040.0
ym=400040.0 u=400041.0
ym=410041.0 u=410042.0
ym=420042.0 u=420043.0
ym=430043.0 u=430044.0
ym=440044.0 u=440045.0
ym=450045.0 u=450046.0
ym=460046.0 u=460047.0
ym=470047.0 u=470048.0
ym=480048.0 u=480049.0
ym=490049.0 u=490050.0
ym=500050.0 u=500051.0
ym=510051.0 u=510052.0
ym=520052.0 u=520053.0
ym=530053.0 u=530054.0
ym=540054.0 u=540055.0
ym=550055.0 u=550056.0
ym=560056.0 u=560057.0
ym=570057.0 u=570058.0
ym=580058.0 u=580059.0
ym=590059.0 u=590060.0
ym=600060.0 u=600061.0
ym=610061.0 u=610062.0
ym=620062.0 u=620063.0
ym=630063.0 u=630064.0
ym=640064.0 u=640065.0
ym=650065.0 u=650066.0
ym=660066.0 u=660067.0
ym=670067.0 u=670068.0
ym=680068.0 u=680069.0
ym=690069.0 u=690070.0
ym=700070.0 u=700071.0
ym=710071.0 u=710072.0
ym=720072.0 u=720073.0
ym=730073.0 u=730074.0
ym=740074.0 u=740075.0
ym=750075.0 u=750076.0
ym=760076.0 u=760077.0
ym=770077.0 u=770078.0
ym=780078.0 u=780079.0
ym=790079.0 u=790080.0
ym=800080.0 u=800081.0
ym=810081.0 u=810082.0
ym=820082.0 u=820083.0
ym=830083.0 u=830084.0
ym=840084.0 u=840085.0
ym=850085.0 u=850086.0
ym=860086.0 u=860087.0
ym=870087.0 u=870088.0
ym=880088.0 u=880089.0
ym=890089.0 u=890090.0
ym=900090.0 u=900091.0
ym=910091.0 u=910092.0
ym=920092.0 u=920093.0
ym=930093.0 u=930094.0
ym=940094.0 u=940095.0
ym=950095.0 u=950096.0
ym=960096.0 u=960097.0
ym=970097.0 u=970098.0
ym=980098.0 u=980099.0
ym=990099.0 u=990100.0
ym=1000100.0 u=1000101.0
retry=0
min=0.011343400000000115
avg=0.033438205
max=1.6728307
